Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 36.96      0.09     0.09 30634400     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 21.74      0.14     0.05      513     0.10     0.45  MatrixCOO::mat_vec(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&)
 19.57      0.18     0.04 25444800     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
 17.39      0.22     0.04 15287927     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  4.35      0.23     0.01 40772000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.23     0.00     5122     0.00     0.00  double* std::vector<double, std::allocator<double> >::_M_data_ptr<double>(double*) const
  0.00      0.23     0.00     5122     0.00     0.00  std::vector<double, std::allocator<double> >::data()
  0.00      0.23     0.00     4613     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.23     0.00     3076     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.23     0.00     2575     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.23     0.00     2050     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const
  0.00      0.23     0.00     2048     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      0.23     0.00     2048     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.23     0.00     2048     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.23     0.00     2048     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.23     0.00     2048     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      0.23     0.00     1538     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      0.23     0.00     1040     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.23     0.00     1025     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      0.23     0.00     1024     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_propagate_on_copy_assign()
  0.00      0.23     0.00     1024     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      0.23     0.00     1024     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      0.23     0.00     1024     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.00      0.23     0.00     1024     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.23     0.00     1024     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      0.23     0.00     1024     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.00      0.23     0.00     1024     0.00     0.00  std::vector<double, std::allocator<double> > const* std::__addressof<std::vector<double, std::allocator<double> > const>(std::vector<double, std::allocator<double> > const&)
  0.00      0.23     0.00     1024     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double*)
  0.00      0.23     0.00     1024     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      0.23     0.00     1024     0.00     0.00  double* std::__copy_move_a1<false, double const*, double*>(double const*, double const*, double*)
  0.00      0.23     0.00     1024     0.00     0.00  double* std::__copy_move_a2<false, double const*, double*>(double const*, double const*, double*)
